var_code,var,year,sa4_code_2016,sa4_name_2016,base,zero,state2023,diff
49 BrisWestQld,Brisbane - West,2030,304,Brisbane - West,128.2053,128.4914,115.5596,12.931799999999996
50 BrisInnerQld,Brisbane - Inner,2030,305,Brisbane Inner City,208.3705,206.5819,184.8654,21.716499999999996
51 CairnsQld,Cairns,2030,306,Cairns,130.0163,129.0953,117.4874,11.607900000000015
52 DDownsMnaQld,Darling Downs - Maranoa,2030,307,Darling Downs - Maranoa,61.3697,57.9014,55.1336,2.767800000000001
53 FitzroyQld,Central Queensland,2030,308,Central Queensland,151.7824,138.805,135.9006,2.9044000000000096
54 GoldCoastQld,Gold Coast,2030,309,Gold Coast,328.5973,325.8986,288.5312,37.367399999999975
55 IpswichQld,Ipswich,2030,310,Ipswich,178.9471,177.6183,161.3467,16.271600000000007
56 LgnBeaudsQld,Logan - Beaudesert,2030,311,Logan - Beaudesert,176.8042,175.7794,157.3686,18.410800000000023
57 Mackay4Qld,Mackay - Isaac - Whitsunday,2030,312,Mackay - Isaac - Whitsunday,120.804,112.8004,108.1079,4.6924999999999955
58 MrtonBayNQld,Moreton Bay - North,2030,313,Moreton Bay - North,114.2667,113.9067,101.7896,12.117100000000008
59 MrtonBaySQld,Moreton Bay - South,2030,314,Moreton Bay - South,129.7858,129.7786,116.72,13.058600000000013
60 OutbackQld,Queensland - Outback,2030,315,Queensland - Outback,47.4593,45.8438,41.5958,4.248000000000005
61 SunshnCstQld,Sunshine Coast,2030,316,Sunshine Coast,170.8448,169.5077,150.2462,19.261500000000012
62 Toowoomb4Qld,Toowoomba,2030,317,Toowoomba,76.9612,76.1251,69.8324,6.292699999999996
63 TwnsvilleQld,Townsville,2030,318,Townsville,140.832,145.0095,127.2093,17.800200000000004
64 WideBayQld,Wide Bay,2030,319,Wide Bay,109.1302,107.4246,97.452,9.9726
65 AdelHilCntSA,Adelaide - Central and Hills,2030,401,Adelaide - Central and Hills,179.4718,183.0962,162.1467,20.9495
66 AdelaideNSA,Adelaide - North,2030,402,Adelaide - North,234.3655,232.6243,212.0803,20.54400000000001
67 AdelaideSSA,Adelaide - South,2030,403,Adelaide - South,203.2764,204.4683,184.5575,19.910799999999995
68 AdelaideWSA,Adelaide - West,2030,404,Adelaide - West,144.8622,140.2151,132.0319,8.1832
69 BaroYkPnMNSA,Barossa - Yorke - Mid North,2030,405,Barossa - Yorke - Mid North,54.8418,60.4918,48.1609,12.3309
70 Outback4SA,South Australia - Outback,2030,406,South Australia - Outback,41.6582,44.2477,36.646,7.601700000000001
