occupation_name,occupation_group
"O841 Farm, Forestry and Garden Workers",O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O8 LABOURERS
O851 Food Preparation Assistants,O8 LABOURERS
O851 Food Preparation Assistants,O8 LABOURERS
O851 Food Preparation Assistants,O8 LABOURERS
O891 Freight Handlers and Shelf Fillers,O8 LABOURERS
O891 Freight Handlers and Shelf Fillers,O8 LABOURERS
O899 Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O8 LABOURERS
