occupation_full,occupation_code,occupation_name,occupation_group
O551 Accounting Clerks and Bookkeepers,O551,Accounting Clerks and Bookkeepers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O552 Financial and Insurance Clerks,O552,Financial and Insurance Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O552 Financial and Insurance Clerks,O552,Financial and Insurance Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O552 Financial and Insurance Clerks,O552,Financial and Insurance Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O561,Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O561,Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O561,Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O561,Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O561,Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O561,Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O561,Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O591 Logistics Clerks,O591,Logistics Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O591 Logistics Clerks,O591,Logistics Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
